SEX,EDUCATION,MARRIAGE,PAY,BILL_AMT,PAY_AMT,age_disc,limit_bal_disc_8,default payment next month
2,2,1,-0.333333333,1284,114.8333333,0,0,1
2,2,2,0.5,2846.166667,833.3333333,0,0,1
2,2,2,0,16942.16667,1836.333333,1,0,0
2,2,1,0,38555.66667,1398,1,0,0
1,2,1,-0.333333333,18223.16667,9841.5,3,0,0
1,1,2,0,39685.66667,1295.333333,1,0,0
1,1,2,0,454099.1667,30126.5,0,3,0
2,2,2,-0.5,2247.666667,798.5,0,0,0
2,3,1,0.333333333,10868.66667,1126.833333,0,1,0
1,3,2,-1.666666667,4486.5,2354.833333,1,0,0
2,3,2,0.166666667,5744.5,1078.666667,1,1,0
2,1,2,-0.5,14728.16667,11051.33333,3,2,0
2,2,2,-0.833333333,6834.5,3895,2,5,0
1,2,2,1.166666667,56447.5,1783.333333,0,0,1
1,1,2,0,62265.16667,3000,0,1,0
2,3,3,0.5,32736,1033.333333,0,0,0
1,1,2,1.333333333,17693.5,1058.333333,0,0,1
1,1,1,-0.5,161002.3333,60316.16667,2,2,0
2,1,1,-1.5,0,0,2,2,0
2,1,2,-1.5,0,0,0,1,0
2,3,2,-0.166666667,20647.16667,7038.5,1,0,0
2,2,1,-1,316,263.3333333,1,0,1
2,2,2,1.333333333,44245.83333,1835,0,0,1
2,1,1,-2,4494.166667,3764.833333,1,3,1
1,1,2,-0.166666667,5310.666667,2733.333333,0,0,0
1,3,2,0,35715.83333,1315.166667,0,0,0
1,1,2,-0.833333333,-65.66666667,416.6666667,0,0,1
2,3,2,0,18711.33333,1185.333333,0,0,0
2,3,1,-1,6701.333333,6594.5,2,0,0
1,1,2,0,16180.33333,1100,0,0,0
2,1,2,-1,18957.66667,16248.16667,0,1,0
1,2,2,0.333333333,25311.5,1155.666667,1,0,1
1,1,2,0,82539.5,3124,1,0,0
2,2,1,-2,20957.33333,26417,3,3,0
1,1,1,-2,9719.666667,7570.833333,3,3,0
1,1,2,-1.5,4218.666667,380,0,1,0
1,2,1,0,178329.5,6987.166667,1,2,0
2,2,2,-0.166666667,5379.833333,8891.5,0,0,0
1,1,2,-1.166666667,130,130,0,0,1
1,1,2,-0.333333333,8607.166667,6226.166667,1,2,0
1,1,2,0,275125.1667,40640,1,2,0
2,1,2,0,65476,3223.666667,0,0,0
1,2,2,0,3793.5,1204.5,0,0,0
2,2,1,0,64189,3333.333333,1,1,0
2,1,2,0.333333333,24530.83333,2166.666667,0,0,0
1,1,2,-2,0,0,0,1,1
2,1,2,0.166666667,13221.33333,3345.833333,0,0,1
2,5,2,-0.5,1639.5,363.8333333,2,1,1
1,2,2,-1,19135.83333,15555.33333,1,2,0
1,1,2,0,19301.66667,1041,0,0,0
1,3,2,1.5,38168.66667,1350,2,0,1
2,3,3,0,44197.5,1601,2,0,0
2,2,1,-2,7354.166667,5111.333333,2,2,0
2,1,2,0.5,43191.83333,1707.666667,0,1,0
2,1,2,0.333333333,29458.5,2144.5,0,1,0
2,1,1,-2,1398,1080.5,2,3,0
2,3,1,-0.5,9234,4863.166667,1,1,0
2,2,1,0,158727,5677,1,1,0
2,1,2,1.666666667,1124.5,316.6666667,1,1,0
2,2,1,0,380690,18171.5,0,3,0
2,3,1,0,18283.16667,1469.333333,0,3,1
1,2,1,-0.166666667,40707,2020,1,0,0
1,1,2,2,26279,1020.833333,0,0,1
2,2,1,-1,9647.333333,166.6666667,2,0,1
2,2,1,-1.333333333,408.6666667,392.1666667,3,0,0
1,1,1,-0.5,78272.66667,1587,3,1,1
1,2,1,1,3808.666667,501.6666667,3,0,1
2,1,2,-0.5,1431.5,1533,0,1,0
2,3,2,-0.5,1316.833333,6896.5,0,0,0
1,5,2,0.333333333,14721,616.6666667,0,0,0
1,1,2,-1,390,325,1,0,0
1,2,2,2,60358.66667,2300,0,2,1
2,2,1,-0.5,4404.166667,3252,1,1,0
2,1,2,-0.833333333,919,919,1,2,0
1,1,2,-1,23699.83333,23666.16667,1,2,0
1,2,2,0.333333333,16888,931.6666667,0,0,0
1,3,2,-0.166666667,24234.33333,1059.666667,0,0,0
2,1,1,-1,291,291,2,2,0
2,2,2,0,24864.33333,1401.833333,0,0,1
2,2,2,-1.5,0,0,2,1,1
2,3,3,0,102470.5,3654.333333,1,3,0
2,1,2,-0.166666667,49150.5,26892.5,0,2,0
1,3,2,0,23927.66667,890.8333333,0,0,1
2,2,1,0.333333333,116825.3333,3792.166667,2,3,0
2,3,2,0,29583.16667,1008.666667,2,0,0
1,2,2,0,111168.8333,16957.83333,1,1,0
2,1,1,-0.333333333,585,390,2,2,1
2,2,2,-0.166666667,5270.5,1369.333333,1,1,0
2,1,1,-0.5,37755.66667,9450.833333,1,0,0
1,3,2,1,10218.16667,1025.166667,2,0,0
1,1,1,2,143694.5,5466.666667,3,1,1
2,1,2,-0.833333333,2560,661.3333333,1,2,0
2,1,2,-2,592.5,1259.166667,0,0,0
2,2,1,-1.166666667,693.6666667,1836.333333,1,1,0
2,2,2,0,32973.16667,1043.5,0,0,0
1,2,2,0,59119.33333,1959.333333,1,0,0
1,1,1,-0.833333333,9743.333333,20102.16667,2,2,0
1,1,2,0,79901.83333,3973.5,0,1,0
2,3,1,0,13965.66667,630.5,0,0,0
1,2,1,-0.166666667,15536.16667,947.5,1,0,1
1,1,2,-2,2279.833333,2167.833333,1,1,0
2,1,2,-0.833333333,22100.33333,7003.166667,0,2,0
1,1,1,0.666666667,460169.1667,21828.5,4,3,0
2,3,2,0,34227.66667,1145,0,0,1
2,2,2,1.666666667,57006.33333,2252.833333,0,0,0
2,2,2,-1.5,5351.5,4754.833333,0,0,0
2,2,1,-1,2977.5,2132.333333,1,0,0
1,1,2,-1,1831.166667,2547.5,3,2,0
1,2,2,-0.5,113489.6667,47961.33333,1,0,0
1,2,1,-1.5,-103,0,1,2,0
2,1,1,0.333333333,106596.6667,5457.833333,1,2,0
1,3,1,0.333333333,15523.16667,1166.666667,2,0,0
1,2,1,2.166666667,142501.3333,6767.333333,2,2,0
2,1,2,0,55864.33333,2977.666667,0,0,0
1,2,2,0,19851.66667,911.8333333,2,0,0
1,1,2,1,19610,1052,0,0,1
1,1,2,-1,1242.666667,1276,0,1,0
1,2,2,0.333333333,16503.66667,1283.333333,0,0,1
1,2,1,-1,11971.33333,9648.5,1,3,0
2,2,2,-0.333333333,34950.5,1845.5,1,1,0
1,3,2,2.166666667,48374.16667,1705.833333,1,0,1
1,1,1,-1.5,0,0,1,3,1
2,1,1,-1.5,0,0,2,0,0
2,2,1,0.333333333,271089.6667,8995.5,1,2,1
1,1,2,0,18683.33333,718,0,0,0
1,2,2,-1.5,0,0,0,0,0
1,3,2,0,102947.5,3676,3,1,0
1,1,1,0,111480.3333,2461.833333,1,1,1
1,2,1,0,5091.333333,1033.333333,3,0,1
1,3,1,1.166666667,44020.83333,1251.833333,3,0,0
2,1,2,-1.166666667,5462.666667,5314.333333,0,0,0
1,1,2,-0.333333333,1879.833333,1490.666667,2,1,0
1,2,1,0,224985.1667,8884.833333,1,3,0
1,3,1,0,228219.5,8182.666667,2,2,0
2,2,2,0,20580.33333,910,0,0,0
1,2,1,1,12951.33333,771.1666667,1,1,0
1,1,2,0,23471.5,3333.333333,0,1,0
2,2,1,0,7209.333333,1174.333333,1,1,0
2,3,1,-1.333333333,1155.333333,1030,3,0,1
1,1,2,0,34721.66667,1493.333333,0,0,0
1,1,2,-1.5,0,0,2,1,1
1,2,2,-1,638,930,0,1,0
1,2,2,1.166666667,16581.16667,2250,0,0,0
